ID NODO | ID WAY | Nombre | latitud | longitud 
1941488087 | 39969406 | Joaquín V. González | -32.8830779 | -68.849899
480124249 | 39969407 | Nicolás Avellaneda | -32.8844902 | -68.8607835
287060783 | 39969407 | Nicolás Avellaneda | -32.884838 | -68.8588466
1729273009 | 39969407 | Nicolás Avellaneda | -32.8850509 | -68.8576852
480890082 | 39969407 | Nicolás Avellaneda | -32.8852402 | -68.8565174
1941488161 | 39969407 | Nicolás Avellaneda | -32.8852494 | -68.8564682
1941488165 | 39969407 | Nicolás Avellaneda | -32.885535 | -68.8549762
480890149 | 39969407 | Nicolás Avellaneda | -32.8858508 | -68.8532562
1184301737 | 39969407 | Nicolás Avellaneda | -32.8860921 | -68.8520591
623948381 | 39969407 | Nicolás Avellaneda | -32.8862878 | -68.8509997
1086742680 | 39969407 | Nicolás Avellaneda | -32.8866108 | -68.8492985
480124255 | 39969409 | Martínez de Rozas | -32.8735981 | -68.8517938
1089228672 | 39969409 | Martínez de Rozas | -32.874646 | -68.8520754
2455675538 | 39969409 | Martínez de Rozas | -32.8749663 | -68.8521615
2455675534 | 39969409 | Martínez de Rozas | -32.8751458 | -68.8522097
3652841879 | 39969409 | Martínez de Rozas | -32.8753689 | -68.8522697
2455675542 | 39969409 | Martínez de Rozas | -32.8756502 | -68.8524008
1089228674 | 39969409 | Martínez de Rozas | -32.8767355 | -68.8526219
480890128 | 39969409 | Martínez de Rozas | -32.8777926 | -68.8529009
480890108 | 39969409 | Martínez de Rozas | -32.8788306 | -68.8531736
480890133 | 39969409 | Martínez de Rozas | -32.8798681 | -68.853443
480890111 | 39969409 | Martínez de Rozas | -32.8812124 | -68.8538315
480890109 | 39969409 | Martínez de Rozas | -32.8822989 | -68.854102
480890127 | 39969409 | Martínez de Rozas | -32.8837529 | -68.8545159
3172557650 | 39969409 | Martínez de Rozas | -32.8838003 | -68.8545288
3172557651 | 39969409 | Martínez de Rozas | -32.8838391 | -68.8545369
3154322566 | 39969409 | Martínez de Rozas | -32.8851657 | -68.8548821
1089201179 | 39969410 | Granaderos | -32.8689244 | -68.8522029
1089201242 | 39969410 | Granaderos | -32.8703231 | -68.8524082
1089201133 | 39969410 | Granaderos | -32.8714334 | -68.852557
1089201206 | 39969410 | Granaderos | -32.8718468 | -68.8527515
1089201193 | 39969410 | Granaderos | -32.8725339 | -68.8530087
480124267 | 39969410 | Granaderos | -32.8733033 | -68.853331
1089228668 | 39969410 | Granaderos | -32.8743677 | -68.8536209
1089228665 | 39969410 | Granaderos | -32.8754021 | -68.8539032
1089228661 | 39969410 | Granaderos | -32.8764569 | -68.8541787
480890105 | 39969410 | Granaderos | -32.8774942 | -68.8544575
480890097 | 39969410 | Granaderos | -32.8785487 | -68.8547382
480890106 | 39969410 | Granaderos | -32.8796123 | -68.8550175
480890101 | 39969410 | Granaderos | -32.8809238 | -68.8553737
480890099 | 39969410 | Granaderos | -32.8820025 | -68.8556422
287060813 | 39969410 | Granaderos | -32.8836979 | -68.8561038
